NOME FANTASIA;CNES;CNPJ;UF;MUNICIPIO;DATA DE ATUALIZAÇÃO
LABVIDA LABORATORIO DE ANALISES CLINICAS;2305305;03006201000194;SC;ARARANGUA;30/08/2018
LAC;2597780;13596101000119;BA;SALVADOR;30/08/2018
LAC;2654784;00274834000195;ES;ALFREDO CHAVES;30/08/2018
LAC;2469995;04425824000164;BA;ITABERABA;30/08/2018
LAC;2376113;03383908000110;MS;CORUMBA;30/08/2018
LAC LABORATORIO;5024765;07671976000135;SE;LAGARTO;30/08/2018
LAC LABORATORIO DE ANALISES CLINICAS DE FEIRA DE SANTANA;6929680;13822105000178;BA;FEIRA DE SANTANA;30/08/2018
LAC LABORATORIO DE ANATOMIA PATALOGICA E CITOPATOLOGIA;5660068;27112606000175;RJ;RIO DE JANEIRO;30/08/2018
LAC LABORATORIO DE ANATOMIA PATOLOGICA E CITOPATOLOGIA S S;21741;00208207000156;MS;CAMPO GRANDE;30/08/2018
LACAF LABORATORIO CLINICO ANTONIO FERNANDO;7486456;18785012000134;SE;CAPELA;30/08/2018
LACAP LAB DE ANALISES CLINICAS;2052784;04423347000106;SP;POTIRENDABA;30/08/2018
LACCA;3024024;01429900000111;RJ;CASIMIRO DE ABREU;30/08/2018
LACCON;9109935;19992398000118;MG;CONQUISTA;30/08/2018
LACE LABORATORIO DE ANALISE CLINICAS E ESPECIALIZADAS;3355365;00132091000119;PE;ALIANCA;30/08/2018
LACEP;7619642;08310021000115;PB;SAO JOSE DE PIRANHAS;30/08/2018
LACER;3279006;00824212000193;BA;SERRINHA;30/08/2018
LACESP;2430258;11165743000138;PE;PETROLINA;30/08/2018
LACIB LABORATORIO IBIRAMA;2377853;81388514000168;SC;IBIRAMA;30/08/2018
LACIO LABORATORIO;6124313;09012777000140;SP;PINDAMONHANGABA;30/08/2018
LACITA LABORATORIO DE ANALISES CLINICAS DE ITALVA;6311490;07161561000111;RJ;ITALVA;30/08/2018
LACLIMED;3283828;14304588000181;BA;ESPLANADA;30/08/2018
LACLIN;2289245;27965508000261;RJ;BARRA MANSA;30/08/2018
LACLIN;3253996;13226436000145;BA;FEIRA DE SANTANA;30/08/2018
LACLIN;2271044;39762372000190;RJ;VOLTA REDONDA;30/08/2018
LACLIV;2525925;13069976000162;BA;VALENCA;30/08/2018
LACO;2759616;01793525000194;MG;CARANGOLA;30/08/2018
LACOM;6607373;01403970000109;BA;SALVADOR;30/08/2018
LACOR;2759624;18998294000158;MG;UBA;30/08/2018
LACP LABORATORIO DE ANALISES CLINICAS DE PETROPOLIS;2668809;01631153000108;RJ;PETROPOLIS;30/08/2018
LACP LABORATORIO DE ANALISES CLINICAS DE PETROPOLIS;2268809;01631153000108;RJ;PETROPOLIS;30/08/2018
LAD;3191494;34023788000173;BA;SALVADOR;30/08/2018
LAD;2523841;03321893000165;BA;SENHOR DO BONFIM;30/08/2018
LADE;306015;01310888000121;BA;FEIRA DE SANTANA;30/08/2018
LAES LABORATORIO;2679345;40807109000826;RN;NATAL;30/08/2018
LAF LABORATORIO ANTUNES FARIAS;2602504;01401472000119;BA;SEABRA;30/08/2018
LAGOA SANTA CORPORAL CLINICA DE FISIOTERAPIA LTDA;3393062;06070385000140;MG;LAGOA SANTA;30/08/2018
LAGOA SANTA FISIOT CLINICA DE FISIOTERAPIA GERAL LTDA;2159201;01081238000151;MG;LAGOA SANTA;30/08/2018
LAGOA SANTA LABORATORIO ANALISES CLINICAS SAO LUCAS LTDA;3018040;19736339000260;MG;LAGOA SANTA;30/08/2018
LAGOA SANTA ROJAN;3445011;04652603000129;MG;LAGOA SANTA;30/08/2018
LAMAB LAB DE ANAL CLIN DO MACICO DE BATURITE;5027225;08057164000167;CE;BATURITE;30/08/2018
LAMAC;3042189;13150875000111;SE;ARACAJU;30/08/2018
LAMEDS;7771460;03051886000271;PE;ARCOVERDE;30/08/2018
LAMIC;3888223;06736219000130;CE;JUAZEIRO DO NORTE;30/08/2018
LAMINA;3028259;00626754000151;DF;BRASILIA;30/08/2018
LAMINA DIAGNOSTICOS BIRIGUI;9158154;22087291000130;SP;BIRIGUI;30/08/2018
LANACLIN;2680858;85462554000163;PR;GUARATUBA;30/08/2018
LAP LABORATORIO;3424235;28152676000110;ES;VILA VELHA;30/08/2018
LAP LABORATORIO;3424935;28152676000110;ES;VILA VELHA;30/08/2018
LAPAC;7847459;00454686000190;DF;BRASILIA;30/08/2018
LAPAC;5386268;30399315000114;RJ;CAMPOS DOS GOYTACAZES;30/08/2018
LAPAC;7160380;01347642000124;AL;MACEIO;30/08/2018
LAPAC;2745399;01421702000101;SP;MARILIA;30/08/2018
