Nome_Fantasia;Cnes;Cnpj;UF;Municipio
HOSPITAL ESTRELA;2252260;3123393000208;RS;ESTRELA
HOSPITAL EVANGELICO DA BAHIA HEB;4979;15171093000194;BA;SALVADOR
HOSPITAL EVANGELICO DE BELO HORIZONTE;26808;17214743000167;MG;BELO HORIZONTE
HOSPITAL EVANGELICO DE LONDRINA;2550792;78613841000161;PR;LONDRINA
HOSPITAL EVANGELICO DE SOROCABA;2708558;61705877000334;SP;SOROCABA
HOSPITAL FREI CLEMENTE SOLEDADE;2246961;97503676000130;RS;SOLEDADE
HOSPITAL GERAL UNIVERSITARIO;2659107;3468485000130;MT;CUIABA
HOSPITAL IBIAPABA CEBAMS;2098938;19557487000136;MG;BARBACENA
HOSPITAL ILHA DO GOVERNADOR;7954549;22233557000105;RJ;RIO DE JANEIRO
HOSPITAL IMACULADA CONCEICAO;2148293;16881161000171;MG;CURVELO
HOSPITAL INFANTIL DE CAMPINAS;2337851;1564939000141;GO;GOIANIA
HOSPITAL INSTITUTO DE MEDICINA E CIRURGIA DO PARANA;3006425;76493345000196;PR;CURITIBA
HOSPITAL IPO;3021238;85514370000108;PR;CURITIBA
HOSPITAL ISRAELITA ALBERT SABIN;3603539;33722224000166;RJ;RIO DE JANEIRO
HOSPITAL ITALIANO;3005984;33268475000201;RJ;RIO DE JANEIRO
HOSPITAL ITALIANO;3005984;33268475000112;RJ;RIO DE JANEIRO
HOSPITAL JARDIM CUIABA;2674955;5994724000111;MT;CUIABA
HOSPITAL LAGO SUL;3009939;603542000230;DF;BRASILIA
HOSPITAL LIBERTAE MEDICAL CENTER;7663285;19904440000282;MG;SETE LAGOAS
HOSPITAL M SAO DOMINGOS NA PROVIDENCIA DE DEUS;7647891;53221255005614;MG;UBERABA
HOSPITAL MANOEL NOVAES;2525569;14349740000304;BA;ITABUNA
HOSPITAL MARIA LUCINDA;566;9767633000102;PE;RECIFE
HOSPITAL MATA DA PRAIA LTDA;8610101;8279419000136;ES;VITORIA
HOSPITAL MATER DEI;2577704;78614971000208;PR;LONDRINA
HOSPITAL MEMORIAL ARTHUR RAMOS;2006472;1722424000122;AL;MACEIO
HOSPITAL MEMORIAL GUARARAPES;2319454;10072296000100;PE;JABOATAO DOS GUARARAPES
HOSPITAL NETTO CAMPELLO DE SERTAOZINHO SP;2078961;1613433008089;SP;SERTAOZINHO
HOSPITAL NEUROLOGICO;2339765;1011865000116;GO;GOIANIA
HOSPITAL NOSSA SENHORA AUXILIADORA;2756951;3873593000199;MS;TRES LAGOAS
HOSPITAL NOSSA SENHORA DA CONCEICAO;2491710;83883306001213;SC;TUBARAO
HOSPITAL NOSSA SENHORA DA CONCEICAO HNSC;2419653;86531803000198;SC;URUSSANGA
HOSPITAL NOSSA SENHORA DAS DORES;2215586;20959292000100;MG;ITABIRA
